,Unnamed: 0,id_reference,type_reference,designation,programme,code_filiere,coeff_avion,magasin,livrable,constituant,famille_code_filiere,norm_mat_inge,norm_mat_fab,indice_manufacturing,avion_impacte_pp,priorite_pp,indice_client_pp,classe_piece_ref_pp,procedes_speciaux_ind,cms_mat_pp,fournisseur_cmde,supplier_cmde,rang_appro,type_cycle,quantite_commande,cycle_negocie,quantite_receptionnee,etat_reference,etat_reference.1,supplier_achat,fournisseur_achat,indice_client.1,autonomie_matiere,autonomie_quincaillerie,quantite_FAI,type_cycle.1,cycle_fil_rouge_1ere_commande,cycle_fil_rouge_recommande,NRC_fil_rouge_total,RC_fil_rouge,cycle_standard_1ere_commande,cycle_standard_recommande,NRC_standard_total,RC_standard,devise,lag_time,date_besoin_client_new,date_transmission_proc_new,date_emission_commande_new,date_livraison_contractuelle_new,date_livraison_previsionnelle_S_new,date_reception_effective_new,date_livraison_contractuelle_initiale_new,date_affectation_new,total_cycle_duration_new,total_cycle_duration_predict
1240,1240,17641,1,774,2,5,1.0,4,True,False,4,47,47,13,2,2,1,2.0,1,50,5,5,2,1,1,35.0,1,4,4,3,3,2,1,1,5.0,1,35.0,35.0,0.048912674,0.019863226,70.0,70.0,0.048912674,0.012314973,2,-98,121,190,137,216,213,234,181,140,119.0,126.942698625
3658,3673,34484,0,39,2,1,1.0,5,True,False,1,21,21,3,8,1,2,3.0,180,103,3,3,1,2,5,47.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.00103931,74.0,50.0,0.011096774,0.000602886,1,-43,238,370,266,360,377,400,338,286,78.0,87.6341338769
2208,2209,27037,0,231,2,7,1.0,5,True,False,4,44,44,3,8,3,2,3.0,164,39,5,5,1,2,5,60.0,5,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.025734709,0.001514696,100.0,110.0,0.013657506,0.001147824,2,11,191,268,188,274,293,316,255,204,144.0,134.52932371
1442,1442,19299,0,1102,2,15,4.0,4,False,False,4,19,19,34,2,1,1,2.0,1,83,21,21,1,1,16,25.0,15,4,4,0,0,0,0,0,10.2491260778,0,200.93254717,38.9047501237,0.055465358927,0.0161577308311,401.86509434,77.8095002474,0.0405427079029,0.0115291484465,0,-169,12,63,55,79,64,75,89,0,209.0,92.0422557763
935,935,16920,1,116,2,9,1.0,4,False,False,3,41,41,25,12,1,1,2.0,2,29,2,2,2,1,2,36.0,1,4,4,3,3,2,1,1,3.0,1,36.0,36.0,0.027656796,0.030091221,72.0,72.0,0.027656796,0.025396245,2,-159,87,128,96,174,175,187,129,96,171.0,195.381956565
92,92,15157,0,708,2,26,1.0,5,False,False,4,47,47,51,2,1,3,2.0,2,38,2,2,1,1,2,55.0,2,4,4,3,3,5,1,1,2.0,1,55.0,30.0,0.128320287,0.070921113,110.0,60.0,0.128320287,0.028635804,2,-162,11,21,30,75,59,68,38,14,180.0,209.456153389
633,633,16130,1,124,2,7,8.0,5,False,False,4,19,19,14,2,1,1,2.0,6,87,2,2,1,1,31,51.0,4,4,4,3,3,2,1,1,40.0,1,51.0,41.0,0.060114281,0.00953115,102.0,82.0,0.060114281,0.004836165,2,-79,77,81,56,108,100,118,100,56,141.0,141.167313714
1644,1645,19851,0,957,2,5,1.0,4,False,False,4,19,19,25,12,1,1,2.0,2,90,2,2,2,1,2,30.0,2,4,4,3,3,2,1,1,3.0,1,30.0,35.0,0.056626988,0.009419474,60.0,70.0,0.056626988,0.004724451,2,-46,87,131,96,122,119,129,127,99,58.0,73.2176439229
1262,1262,17668,0,709,2,1,1.0,4,True,False,1,22,22,34,2,2,1,2.0,1,122,3,3,2,2,2,46.0,2,4,4,4,4,1,2,1,5.0,2,37.0,25.0,0.0,0.002491783,74.0,50.0,0.0,0.001433,1,-139,128,191,149,215,236,254,187,238,174.0,276.355659398
3580,3595,33778,0,298,2,26,1.0,11,True,False,4,47,47,3,8,1,2,2.0,221,38,10,10,2,2,1,45.0,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.117672962,0.021215249,50.0,40.0,0.102552727,0.015155425,1,-138,217,362,264,391,417,439,305,277,152.0,169.653111358
415,415,15722,0,662,2,1,11.0,4,False,False,1,19,19,25,2,1,1,2.0,2,105,1,1,3,1,30,36.0,20,4,4,2,2,2,1,1,5.0,1,36.0,38.9047501237,0.019180109,0.001255878,72.0,77.8095002474,0.012786739,0.000627864,2,-119,33,32,41,79,66,75,34,22,162.0,153.475605202
138,138,15202,0,1082,2,1,1.0,4,False,False,1,16,14,13,2,2,3,2.0,2,33,1,1,1,2,24,35.0,10,4,4,2,2,5,1,1,6.0,2,28.0,28.0,0.023309003,0.000441271,56.0,56.0,0.015534303,0.00025347,2,-90,68,102,92,120,113,123,105,72,104.0,146.121778047
2808,2809,30044,0,1117,2,9,1.0,1,True,False,3,30,30,3,8,2,2,2.0,55,17,5,5,1,2,5,65.0,1,4,4,6,6,2,2,1,5.0,2,55.0,60.0,0.031491308,0.004147304,110.0,120.0,0.020923755,0.002922562,2,3,261,319,225,381,376,399,308,239,158.0,185.367812123
1544,1545,19590,0,1274,2,26,1.0,5,False,False,4,47,47,34,2,1,1,2.0,6,45,8,8,1,2,2,45.0,2,4,4,9,9,2,1,1,2.0,1,45.0,45.0,0.042270212,0.014726942,90.0,90.0,0.042270212,0.014726942,2,-79,35,65,34,57,46,52,70,45,64.0,109.206605683
3593,3608,33785,0,1333,2,9,1.0,1,True,False,3,35,35,3,8,2,2,2.0,221,22,5,5,1,2,5,65.0,1,4,4,3,3,2,2,1,1.0,2,55.0,60.0,0.028875839,0.00170779,110.0,120.0,0.018308286,0.001193445,2,14,261,363,268,356,369,392,353,280,78.0,110.271650483
4147,4163,38777,1,208,2,1,2.0,5,True,False,1,22,22,3,10,1,2,3.0,191,120,3,3,1,2,20,47.0,20,4,4,4,4,2,2,1,20.0,2,37.0,25.0,0.018475073,0.001049275,74.0,50.0,0.011096774,0.00061394,1,-100,295,442,333,479,505,533,230,339,125.0,165.74066797
752,752,16440,0,461,2,11,1.0,5,True,False,4,49,49,44,2,1,1,2.0,5,67,10,10,1,1,5,25.0,2,4,4,11,11,2,1,1,5.0,1,30.0,25.0,0.036371253,0.015005925,60.0,50.0,0.031627177,0.010960062,2,-46,69,105,48,84,80,89,94,0,59.0,106.42448723
1318,1318,18239,0,1400,2,9,8.0,5,False,False,3,39,39,1,0,1,0,2.0,1,25,2,2,1,1,8,30.0,7,4,4,3,3,0,1,1,16.0,1,30.0,30.0,0.027656796,0.010686309,60.0,60.0,0.027656796,0.010686363,2,-109,2,22,15,13,8,7,16,13,108.0,87.6448495663
1881,1882,24580,0,827,2,9,1.0,5,True,False,3,39,39,72,9,3,2,2.0,0,27,5,5,1,2,5,60.0,1,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.036050453,0.001369271,100.0,110.0,0.024728074,0.000862604,2,28,211,236,193,286,301,324,225,176,251.0,244.850331122
3994,4009,36784,1,221,2,5,1.0,1,True,False,4,19,19,3,9,3,2,3.0,61,89,5,5,1,2,5,65.0,5,4,4,6,6,2,2,1,5.0,2,55.0,60.0,0.041062492,0.002601972,110.0,120.0,0.028532393,0.001577562,2,-92,263,412,302,430,455,477,398,314,106.0,116.338179473
2469,2470,28859,1,411,2,0,2.0,5,True,False,1,21,21,13,8,3,2,2.0,92,109,3,3,1,2,8,82.0,8,4,4,4,4,2,2,1,10.0,2,58.0,25.0,0.193216188,0.001947391,116.0,50.0,0.086967742,0.000889241,1,-103,224,297,238,363,402,424,340,252,231.0,243.259392107
2211,2212,27040,0,447,2,1,1.0,8,True,False,4,22,22,3,7,2,2,3.0,157,122,6,6,1,1,4,22.0,3,4,4,7,7,2,2,1,3.0,1,17.0,38.9047501237,0.003140073,0.005504638,34.0,77.8095002474,0.002415441,0.003520656,2,-36,178,270,184,264,276,299,231,199,64.0,92.6299604812
3954,3969,36390,0,244,2,5,1.0,1,True,False,4,19,19,3,8,2,2,2.0,221,98,5,5,1,1,5,50.0,5,4,4,6,6,2,2,1,5.0,1,50.0,55.0,0.032846974,0.003775606,100.0,110.0,0.021050566,0.002301764,2,-83,264,403,298,410,449,471,386,311,118.0,107.087426814
788,788,16527,0,120,2,9,1.0,5,False,False,3,41,41,25,2,1,1,2.0,2,29,2,2,2,1,1,40.0,1,4,4,3,3,2,1,1,8.0,1,30.0,30.0,0.052837765,0.016783841,60.0,60.0,0.052837765,0.012088828,2,-209,33,46,60,75,138,142,45,30,217.0,250.373312105
2149,2150,26825,0,1024,2,7,1.0,4,True,False,4,19,19,3,9,3,2,2.0,164,93,5,5,1,2,5,60.0,5,4,4,3,3,2,2,1,5.0,2,50.0,55.0,0.035854198,0.003903539,100.0,110.0,0.024078925,0.002985201,2,7,204,264,188,276,306,329,257,204,171.0,162.158505815
1450,1451,19408,0,1232,2,23,1.0,5,False,False,4,1,0,33,2,1,1,2.0,1,69,7,7,1,1,3,20.0,3,4,4,8,8,2,1,1,3.0,1,20.0,20.0,0.067707822,0.058393128,40.0,40.0,0.067707822,0.049094587,2,-77,35,45,34,45,41,50,58,51,96.0,73.5685251844
3216,3228,31696,0,646,2,26,1.0,5,True,False,4,47,47,73,8,2,2,2.0,79,52,5,5,1,2,5,60.0,1,4,4,3,3,2,2,1,5.0,2,60.0,70.0,0.175953079,0.058143343,120.0,140.0,0.147800587,0.036288563,1,-89,188,343,250,330,351,374,308,262,95.0,161.770466936
2360,2361,28005,1,1469,2,0,1.0,1,True,False,1,21,21,32,8,3,4,2.0,45,103,3,3,1,2,4,80.0,4,4,4,4,4,5,2,1,5.0,2,37.0,25.0,0.039648094,0.003289456,74.0,50.0,0.017853372,0.001585764,1,38,245,290,203,307,319,342,288,270,158.0,167.375179668
1932,1933,25002,0,776,2,1,2.0,5,True,False,1,21,21,72,9,3,2,2.0,0,104,3,3,1,2,10,60.0,10,4,4,4,4,2,2,1,10.0,2,50.0,30.0,0.01829912,0.001085044,100.0,60.0,0.012199413,0.000545689,1,-54,191,241,195,292,325,348,262,210,285.0,259.702657696
323,323,15586,0,1286,2,9,1.0,4,False,False,3,31,31,55,2,1,1,2.0,1,18,2,2,2,1,1,26.0,1,4,4,3,3,2,1,1,2.0,1,26.0,26.0,0.019670745,0.004259479,52.0,52.0,0.019670745,0.004295559,2,-51,52,9,3,10,58,66,7,6,211.0,162.198413181
2788,2789,29897,1,1072,2,9,1.0,5,True,False,3,41,41,32,13,3,4,2.0,242,29,5,5,1,2,1,70.0,1,4,4,3,3,2,2,1,5.0,2,60.0,65.0,0.037092111,0.018468236,120.0,130.0,0.028532393,0.01432591,2,-56,251,366,234,325,405,427,324,248,199.0,247.062919238
569,569,15948,0,749,2,15,1.0,5,False,False,4,21,21,13,2,2,1,2.0,1,113,21,21,1,1,5,25.0,5,4,4,24,24,2,1,1,5.0,1,25.0,25.0,0.01474853,0.008558246,50.0,50.0,0.009832353,0.005705573,2,-60,51,64,31,55,49,82,68,50,102.0,90.868110104
1015,1015,17117,0,12,2,7,1.0,4,False,False,4,19,19,14,2,2,1,2.0,1,88,2,2,1,1,6,30.0,6,4,4,3,3,2,1,1,6.0,1,30.0,35.0,0.060114281,0.00780211,60.0,70.0,0.060114281,0.003107163,2,-116,62,143,101,134,126,136,138,108,55.0,85.9161825132
527,527,15881,0,880,2,5,1.0,5,False,False,4,47,47,26,2,1,1,2.0,2,55,2,2,1,1,5,35.0,5,4,4,3,3,2,1,1,5.0,1,35.0,35.0,0.06793427,0.036206583,70.0,70.0,0.06793427,0.031511538,2,-20,77,58,51,92,79,85,70,43,116.0,124.023094982
1196,1196,17560,0,12,2,1,1.0,4,False,False,1,22,22,14,2,3,1,2.0,1,122,21,21,1,1,5,20.0,5,4,4,4,4,2,2,1,5.0,2,37.0,30.0,0.018475073,0.00103931,74.0,60.0,0.011096774,0.000602886,1,-25,119,180,120,170,171,185,163,232,49.0,93.9541901079
538,538,15900,0,54,2,7,2.0,4,False,False,4,19,19,14,2,1,1,2.0,1,89,21,21,1,1,10,25.0,10,4,4,24,24,2,1,1,10.0,1,25.0,25.0,0.01474853,0.011209004,50.0,50.0,0.009832353,0.00747277,2,-23,48,63,33,52,41,49,65,47,64.0,43.7536313959
939,939,16921,1,79,2,9,1.0,4,False,False,3,41,41,25,12,1,1,2.0,2,29,2,2,2,1,2,36.0,2,4,4,3,3,2,1,1,3.0,1,36.0,36.0,0.027656796,0.030091221,72.0,72.0,0.027656796,0.025396245,2,-171,87,128,96,207,204,220,129,96,183.0,212.921447309
68,68,15128,0,453,2,1,1.0,4,False,False,1,22,22,14,2,2,3,2.0,6,131,1,1,2,1,1,19.0,1,4,4,2,2,5,1,1,5.0,1,19.0,19.0,0.021874835,0.010166439,38.0,38.0,0.014583223,0.00525615,2,-161,48,73,66,145,140,151,68,52,185.0,165.713680598
2886,2887,30299,0,730,2,10,1.0,9,True,False,1,21,21,3,13,2,2,2.0,45,103,3,3,1,2,5,47.0,5,4,4,7,7,2,2,1,5.0,2,28.0,0.0,0.079815219,0.003774126,56.0,0.0,0.079815219,0.003396713,2,-131,194,322,223,343,394,416,287,245,175.0,179.652169677
3071,3072,31157,0,724,2,10,2.0,9,True,False,1,21,21,3,8,1,2,2.0,45,103,6,6,1,1,10,28.0,9,4,4,4,4,2,2,1,10.0,2,58.0,25.0,0.63368305,0.004694491,116.0,50.0,0.285184751,0.002298104,1,-73,194,333,246,320,351,374,293,252,103.0,74.3598208184
464,464,15787,0,1272,2,9,1.0,4,False,False,3,30,30,48,2,1,1,2.0,2,17,2,2,1,1,2,35.0,2,4,4,3,3,2,1,1,2.0,1,30.0,30.0,0.02232773,0.024180677,60.0,60.0,0.02232773,0.019485662,2,-102,37,48,34,36,61,68,49,30,125.0,154.088316079
1503,1504,19485,0,1145,2,9,1.0,5,False,False,3,39,39,25,2,1,1,2.0,2,27,2,2,1,1,2,30.0,2,4,4,3,3,2,1,1,2.0,1,30.0,30.0,0.02232773,0.013040681,60.0,60.0,0.02232773,0.00834565,2,-120,23,40,32,66,65,59,35,25,139.0,114.613980928
2097,2098,26657,0,1117,2,9,1.0,3,True,False,3,30,30,3,8,3,2,2.0,164,17,5,5,2,2,4,65.0,4,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.031491308,0.003267048,110.0,120.0,0.020923755,0.002383629,2,25,237,261,186,334,325,348,257,191,210.0,204.558808487
681,681,16202,0,746,2,27,2.37032737404,5,False,False,4,49,49,22,2,1,1,2.0,1,70,7,7,2,1,5,25.0,4,4,4,8,8,2,1,1,5.0,1,30.0,25.0,0.077863996,0.083936564,60.0,50.0,0.067707822,0.067164348,2,-40,71,89,42,84,70,83,86,0,85.0,116.340835395
3466,3481,33309,0,1006,2,23,1.0,12,True,False,4,49,49,3,8,1,2,1.0,170,71,10,10,1,1,1,25.0,1,4,4,11,11,2,2,1,1.0,1,25.0,20.0,0.299239136,0.486437753,50.0,40.0,0.235875333,0.390930473,2,-105,210,358,259,329,390,412,307,271,115.0,116.030512762
3814,3829,35352,0,36,2,15,1.0,5,True,False,4,19,19,3,8,2,2,2.0,221,90,5,5,1,2,5,60.0,5,4,4,6,6,2,2,1,5.0,2,50.0,55.0,0.032846974,0.001565085,100.0,110.0,0.021050566,0.000951533,2,-70,248,383,286,398,408,430,377,300,102.0,109.661710523
989,989,17036,0,170,2,5,1.0,4,False,False,4,19,19,15,2,2,1,2.0,1,95,2,2,1,1,5,30.0,1,4,4,3,3,2,1,1,5.0,1,30.0,35.0,0.056626988,0.008001119,60.0,70.0,0.056626988,0.003306134,2,-118,62,141,101,132,133,140,137,106,63.0,92.4135378614
1010,1010,17105,0,842,2,1,4.0,5,False,False,1,21,21,9,12,2,1,2.0,1,104,21,21,1,1,4,25.0,4,4,4,24,24,2,1,1,4.0,1,25.0,20.0,0.006134465,0.001754834,50.0,40.0,0.004089643,0.001169828,2,-8,106,138,93,129,122,133,134,107,60.0,76.7730234768
2571,2572,29269,0,520,2,5,4.0,11,True,False,4,46,46,72,8,2,2,2.0,61,0,5,5,1,2,20,105.0,4,4,4,6,6,2,2,1,20.0,2,85.0,95.0,0.077746998,0.041030532,170.0,190.0,0.059631192,0.035197953,2,-99,189,308,229,333,362,385,354,243,154.0,216.737390395
1013,1013,17109,0,842,2,11,1.0,5,False,False,4,22,22,9,12,2,1,2.0,1,126,2,2,1,1,2,30.0,2,4,4,3,3,2,1,1,2.0,1,30.0,35.0,0.060491693,0.008622821,60.0,70.0,0.060491693,0.003927809,2,-4,106,141,105,132,127,137,137,106,56.0,82.9403579645
3228,3240,31711,0,556,2,7,3.0,5,True,False,4,19,19,72,8,2,2,2.0,56,89,5,5,1,2,15,60.0,15,4,4,3,3,2,2,1,15.0,2,50.0,55.0,0.035854198,0.001622769,100.0,110.0,0.024057789,0.000985558,2,-76,211,343,245,336,370,393,324,258,122.0,156.535182712
274,274,15459,0,820,2,7,1.0,4,False,False,4,19,19,34,2,1,1,2.0,2,87,2,2,1,1,5,35.0,4,4,4,3,3,2,1,1,5.0,1,35.0,35.0,0.060114281,0.003684276,70.0,70.0,0.060114281,0.003684302,2,-121,28,28,20,70,70,65,26,76,197.0,126.067353826
1829,1830,23512,1,184,2,1,1.0,5,True,False,1,22,22,3,8,1,2,2.0,180,122,3,3,1,2,5,47.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.001049275,74.0,50.0,0.011096774,0.00061394,1,-127,262,371,274,449,472,495,350,291,220.0,305.446046613
1671,1672,19881,0,162,2,15,2.0,4,False,False,4,19,19,13,2,1,1,2.0,1,84,2,2,2,1,5,30.0,5,4,4,3,3,2,1,1,6.0,1,30.0,35.0,0.050784641,0.007361533,60.0,70.0,0.050784641,0.002666496,2,-89,78,146,101,136,130,139,139,109,41.0,63.1181930393
98,98,15163,0,662,2,1,11.0,4,False,False,1,21,21,13,0,1,3,2.0,1,102,1,1,2,1,49,28.0,6,4,4,2,2,5,1,1,55.0,1,19.0,30.0,0.023309003,0.002041229,38.0,60.0,0.015534303,0.0010637,2,-76,70,91,80,86,108,118,96,67,112.0,113.109222256
151,151,15220,0,610,2,7,1.0,4,False,False,4,19,19,26,2,1,3,2.0,2,87,2,2,1,1,5,45.0,5,4,4,3,3,5,1,1,5.0,1,35.0,35.0,0.060114281,0.008414188,70.0,70.0,0.060114281,0.003719175,2,-120,28,32,54,71,56,63,30,19,149.0,171.399617954
3781,3796,35098,0,709,2,1,1.0,5,True,False,1,22,22,3,8,2,2,2.0,41,122,3,3,1,2,5,47.0,5,4,4,4,4,2,2,1,5.0,2,37.0,25.0,0.018475073,0.001104088,74.0,50.0,0.012316716,0.000674817,1,-128,248,378,279,426,454,476,355,293,167.0,167.350509596
3165,3177,31518,0,329,2,26,1.0,11,True,False,4,44,44,72,8,1,2,2.0,61,38,10,10,4,2,1,48.1282840237,1,4,4,11,11,2,2,1,4.0,2,25.0,20.0,0.102852317,0.019909208,50.0,40.0,0.091152375,0.014123167,1,-174,207,340,249,423,442,464,391,259,216.0,215.029108961
2177,2178,26895,0,197,2,5,1.0,3,True,False,4,19,19,3,7,2,2,2.0,0,93,5,5,1,1,10,35.0,10,4,4,3,3,2,2,1,10.0,1,35.0,55.0,0.015096504,0.000580841,70.0,110.0,0.0,0.0,2,-38,163,268,179,257,264,287,222,197,21.0,74.672366884
2683,2684,29652,1,106,2,9,2.0,5,True,False,3,41,41,3,8,2,4,2.0,240,29,5,5,2,2,6,70.0,2,4,4,3,3,2,2,1,10.0,2,60.0,65.0,0.032146496,0.008605253,120.0,130.0,0.024728074,0.006144187,2,-187,187,387,222,385,421,443,310,237,226.0,209.662832598
662,662,16187,0,1184,2,5,1.0,4,False,False,4,47,47,34,2,1,1,2.0,1,55,2,2,1,1,5,45.0,3,4,4,3,3,2,1,1,5.0,1,35.0,45.0,0.065114998,0.026042829,70.0,90.0,0.065114998,0.021347816,2,-46,48,51,42,53,57,64,53,33,114.0,125.968493249
3438,3453,33028,0,70,0,17,5.0,10,True,False,2,13,12,1,1,1,4,2.0,0,2,19,19,1,1,30,48.1282840237,30,4,4,21,21,5,2,2,30.0,1,10.0,5.0,0.0,0.000875543,20.0,10.0,0.0,0.000638592,1,-80,220,390,293,360,384,406,0,301,111.0,183.65073269
984,984,17032,0,883,2,9,1.0,4,False,False,3,31,31,15,2,2,1,2.0,1,18,2,2,2,1,4,30.0,4,4,4,3,3,2,1,1,5.0,1,30.0,30.0,0.019670745,0.009931651,60.0,60.0,0.019670745,0.005236675,2,-112,62,135,101,125,131,135,129,100,57.0,98.5718458296
2496,2497,29003,1,207,2,0,2.0,5,True,False,1,22,22,32,8,3,2,2.0,204,120,3,3,1,2,10,82.0,5,4,4,4,4,2,2,1,10.0,2,58.0,25.0,0.193216188,0.002596171,116.0,50.0,0.086967742,0.00125872,1,-133,243,384,285,429,451,473,389,299,286.0,236.055974119
1385,1385,19203,0,688,2,10,1.0,5,False,False,1,21,21,15,2,1,3,2.0,1,103,1,1,1,1,5,42.0,1,4,4,2,2,5,1,1,5.0,1,42.0,42.0,0.151063171,0.010583555,84.0,84.0,0.100708781,0.005688061,2,-113,35,83,58,82,74,80,92,0,76.0,118.511152328
1579,1580,19679,0,473,2,11,1.0,5,True,False,4,49,49,21,2,1,1,2.0,2,70,10,10,1,1,5,25.0,2,4,4,11,11,2,1,1,5.0,1,30.0,25.0,0.036371253,0.015005925,60.0,50.0,0.031627177,0.010960062,2,-66,63,90,42,84,80,96,86,0,94.0,95.0092742548
4246,4262,39991,0,246,2,1,6.0,5,True,False,1,22,22,3,8,2,2,3.0,180,120,3,3,1,2,10,47.0,10,4,4,4,4,2,2,1,60.0,2,37.0,25.0,0.018475073,0.000687292,74.0,50.0,0.011096774,0.000421203,1,-118,309,462,349,509,537,578,440,353,142.0,136.518653625
2182,2183,26901,0,197,2,5,1.0,3,True,False,4,19,19,3,7,2,2,2.0,0,95,5,5,3,1,2,48.1282840237,2,4,4,3,3,2,2,1,3.0,1,35.0,55.0,0.022644757,0.000708384,70.0,110.0,0.0,0.0,2,-90,164,268,179,257,266,289,0,197,74.0,170.575452052
3212,3224,31694,1,1426,2,25,1.0,5,True,False,3,37,37,3,13,1,2,2.0,258,23,5,5,1,2,5,70.0,1,4,4,3,3,2,2,1,5.0,2,60.0,65.0,0.034619304,0.026726776,120.0,130.0,0.026630234,0.020614702,2,-5,251,353,258,353,368,391,349,270,118.0,143.942974125
1981,1982,25692,0,1118,2,9,1.0,3,True,False,3,30,30,3,9,3,2,2.0,164,17,5,5,1,2,5,65.0,5,4,4,3,3,2,2,1,5.0,2,55.0,60.0,0.031491308,0.002488633,110.0,120.0,0.020923755,0.001836381,2,-221,155,256,203,303,318,341,237,187,229.0,314.0292438
452,452,15771,0,1224,2,27,1.0,5,False,False,4,49,49,34,0,1,1,2.12111947319,1,70,7,7,1,1,5,25.0,5,4,4,8,8,2,1,1,5.0,1,25.0,20.0,0.063367577,0.031366762,50.0,40.0,0.055102241,0.022365471,2,-36,77,79,42,96,87,94,86,0,154.0,137.353239635
2562,2563,29239,0,655,2,10,1.0,5,True,False,1,21,21,3,8,2,2,2.0,181,104,3,3,1,2,5,80.0,5,4,4,4,4,2,2,1,5.0,2,58.0,50.0,0.63368305,0.004644353,116.0,100.0,0.285184751,0.002295424,1,-66,201,307,215,328,354,377,306,227,148.0,184.789668784
